id,name,prefix,parent_id
131048,Xã Vân Khánh Tây,Xã,1909
130985,Thị trấn Thứ Ba,Thị trấn,1908
131006,Xã Đông Thái,Xã,1908
131009,Xã Đông Yên,Xã,1908
130997,Xã Hưng Yên,Xã,1908
131000,Xã Nam Thái,Xã,1908
131003,Xã Nam Thái A,Xã,1908
130994,Xã Nam Yên,Xã,1908
130988,Xã Tây Yên,Xã,1908
130991,Xã Tây Yên A,Xã,1908
130952,Thị trấn Gò Quao,Thị trấn,1907
130964,Xã Định An,Xã,1907
130958,Xã Định Hòa,Xã,1907
130961,Xã Thới Quản,Xã,1907
130967,Xã Thủy Liễu,Xã,1907
130955,Xã Vĩnh Hòa Hưng Bắc,Xã,1907
130970,Xã Vĩnh Hòa Hưng Nam,Xã,1907
130973,Xã Vĩnh Phước A,Xã,1907
130976,Xã Vĩnh Phước B,Xã,1907
130982,Xã Vĩnh Thắng,Xã,1907
130979,Xã Vĩnh Tuy,Xã,1907
130904,Thị Trấn Giồng Riềng,Thị trấn,1906
130949,Xã  Hòa Thuận,Xã,1906
130922,Xã Bàn Tân Định,Xã,1906
130919,Xã Bàn Thạch,Xã,1906
130940,Xã Hoà An,Xã,1906
130934,Xã Hòa Hưng,Xã,1906
130937,Xã Hoà Lợi,Xã,1906
130943,Xã Long Thạnh,Xã,1906
130928,Xã Ngọc Chúc,Xã,1906
130950,Xã Ngọc Hoà,Xã,1906
130925,Xã Ngọc Thành,Xã,1906
130931,Xã Ngọc Thuận,Xã,1906
130917,Xã Thạnh Bình,Xã,1906
130916,Xã Thạnh Hòa,Xã,1906
130907,Xã Thạnh Hưng,Xã,1906
130913,Xã Thạnh Lộc,Xã,1906
130910,Xã Thạnh Phước,Xã,1906
130947,Xã Vĩnh Phú,Xã,1906
130946,Xã Vĩnh Thạnh,Xã,1906
130880,Thị trấn Minh Lương,Thị trấn,1905
130898,Xã Bình An,Xã,1905
130889,Xã Giục Tượng,Xã,1905
130895,Xã Minh Hòa,Xã,1905
130887,Xã Mong Thọ,Xã,1905
130883,Xã Mong Thọ A,Xã,1905
130886,Xã Mong Thọ B,Xã,1905
130901,Xã Thạnh Lộc,Xã,1905
130892,Xã Vĩnh Hòa Hiệp,Xã,1905
130893,Xã Vĩnh Hoà Phú,Xã,1905
130850,Thị trấn Tân Hiệp,Thị trấn,1904
130871,Xã Tân An,Xã,1904
130868,Xã Tân Hiệp A,Xã,1904
130859,Xã Tân Hiệp B,Xã,1904
130860,Xã Tân Hoà,Xã,1904
130853,Xã Tân Hội,Xã,1904
130856,Xã Tân Thành,Xã,1904
130865,Xã Thạnh Đông,Xã,1904
130874,Xã Thạnh Đông A,Xã,1904
130862,Xã Thạnh Đông B,Xã,1904
130877,Xã Thạnh Trị,Xã,1904
130817,Thị trấn Hòn Đất,Thị trấn,1903
130820,Thị trấn Sóc Sơn,Thị trấn,1903
130826,Xã Bình Giang,Xã,1903
130823,Xã Bình Sơn,Xã,1903
130840,Xã Lình Huỳnh,Xã,1903
130832,Xã Mỹ Hiệp Sơn,Xã,1903
130844,Xã Mỹ Lâm,Xã,1903
130847,Xã Mỹ Phước,Xã,1903
130828,Xã Mỹ Thái,Xã,1903
130838,Xã Mỹ Thuận,Xã,1903
130829,Xã Nam Thái Sơn,Xã,1903
130836,Xã Sơn Bình,Xã,1903
130835,Xã Sơn Kiên,Xã,1903
130841,Xã Thổ Sơn,Xã,1903
130787,Thị trấn Kiên Lương,Thị trấn,1902
130808,Xã Bình An,Xã,1902
130809,Xã Bình Trị,Xã,1902
130805,Xã Dương Hòa,Xã,1902
